,Hospital,City,State,ZIP Code,Score,Score URL
816,St. Francis Regional Medical Center,Shakopee,MN,55379-3380,63.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
817,Fairview Southdale Hospital,Edina,MN,55435-2199,62.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
818,Essentia Health St. Mary's Medical Center,Duluth,MN,55805,61.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="
819,Regions Hospital,Saint Paul,MN,55101-2595,59.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
820,Mayo Clinic Health System Mankato,Mankato,MN,56001-4752,58.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
821,Woodwinds Health Campus,Woodbury,MN,55125-4445,56.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
822,Lake Regional Health System,Fergus Falls,MN,56537-2900,55.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
823,St. Luke's Hospital (Duluth),Duluth,MN,55805-2193,55.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
824,Mayo Clinic Albert Lea Medical Center,Albert Lea,MN,56007-2473,54.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
825,Sanford Bemidji Medical Center,Bemidji,MN,56601-5103,54.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
826,Alomere Health-Alexandria,Alexandria,MN,56308-3798,54.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
827,North Memorial Medical Center,Robbinsdale,MN,55422-2926,54.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
828,Hennepin County Medical Center,Minneapolis,MN,55415-1829,52.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
829,Essentia Health St. Joseph's Medical Center,Brainerd,MN,56401,49.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
830,St. John's Hospital,Maplewood,MN,55109-1126,48.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
831,St. Joseph's Hospital-St. Paul,Saint Paul,MN,55102-1053,47.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
832,Ridgeview Medical Center,Waconia,MN,55387-1791,43.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
833,Rice Memorial Hospital,Willmar,MN,56201-3395,36.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
834,Mississippi Baptist Medical Center,Jackson,MS,39202-2064,57.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
835,Baptist Memorial Hospital - DeSoto,Southaven,MS,38671-4742,53.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
836,Ocean Springs Hospital/Singing River Hospital,Pascagoula,MS,39581-5301,50.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
837,North Mississippi Medical Center - Tupelo,Tupelo,MS,38801-4934,48.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
838,Memorial Hospital at Gulfport,Gulfport,MS,39501-2569,48.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
839,Forrest General Hospital,Hattiesburg,MS,39401-7200,48.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
840,St. Dominic-Jackson Memorial Hospital,Jackson,MS,39216-4606,45.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
841,South Central Regional Medical Center,Laurel,MS,39440-4374,44.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
842,University of Mississippi Medical Center,Jackson,MS,39216-4505,43.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
843,Baptist Memorial Hospital - Golden Triangle,Columbus,MS,39705-2095,41.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0"
844,Baptist Memorial Hospital - North Mississippi,Oxford,MS,38655-5373,40.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
845,Anderson Regional Medical Center,Meridian,MS,39301-4040,35.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
846,Southwest Mississippi Regional Medical Center,McComb,MS,39648-2705,27.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
847,Magnolia Regional Health Center,Corinth,MS,38834-9321,26.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
848,Barnes-Jewish Hospital,Saint Louis,MO,63110-1003,74.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
849,Mercy Hospital St. Louis,Saint Louis,MO,63141-8277,69.3,/best-hospitals/area/co/national-jewish-health-6840315/pul
850,Saint Luke's Hospital of Kansas City,Kansas City,MO,64111-3220,63.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
851,Missouri Baptist Medical Center,Saint Louis,MO,63131-2329,63.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
852,St. Luke's Hospital (Chesterfield),Chesterfield,MO,63017-3417,62.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
853,North Kansas City Hospital,North Kansas City,MO,64116-3220,61.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
854,Boone Hospital Center,Columbia,MO,65201-5844,61.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
855,Mosaic Life Care-St. Joseph,St. Joseph,MO,64506-3488,60.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
856,Mercy Hospital South,Saint Louis,MO,63128-2106,57.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
857,Saint Luke's East Hospital,Lee's Summit,MO,64086-6000,57.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
858,SSM St. Mary's Health Center,Saint Louis,MO,63117-1811,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
859,Mercy Hospital Springfield,Springfield,MO,65804-2263,56.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
860,Mercy Hospital Joplin,Joplin,MO,64804-1626,56.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
861,SSM St. Clare Health Center,Fenton,MO,63026-2394,55.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
862,Parkland Health Center-Farmington Community,Farmington,MO,63640-1921,54.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
863,Research Medical Center,Kansas City,MO,64132-1136,54.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
864,Mercy Hospital Jefferson,Festus,MO,63028-4100,53.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
865,SSM St. Joseph Hospital West,Lake Saint Louis,MO,63367-1366,53.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
866,University of Missouri Hospital,Columbia,MO,65212-0001,52.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
867,Saint Luke's North Hospital - Barry Road,Kansas City,MO,64154-2778,51.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
868,St. Joseph Medical Center (Kansas City),Kansas City,MO,64114-4673,51.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
869,Cox Medical Center,Springfield,MO,65802-1988,50.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
870,Mercy Hospital Washington,Washington,MO,63090-3127,49.7,/best-hospitals/area/co/national-jewish-health-6840315/pul
871,SSM DePaul Health Center,Bridgeton,MO,63044-2512,49.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
872,Barnes-Jewish St. Peters Hospital,Saint Peters,MO,63376-1659,48.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
873,Cox Medical Center Branson,Branson,MO,65616-2052,48.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
874,SSM Health St. Joseph-St. Charles,Saint Charles,MO,63301-2844,46.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
875,Christian Northeast Hospital,Saint Louis,MO,63136-6119,46.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
876,SSM Health Saint Louis University Hospital,Saint Louis,MO,63110-0250,46.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
877,Centerpoint Medical Center,Independence,MO,64057-2301,44.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
878,Freeman Hospital West,Joplin,MO,64804-3503,41.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
879,Southeast Missouri Hospital,Cape Girardeau,MO,63701-5230,40.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
880,Liberty Hospital,Liberty,MO,64068-9600,40.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
881,Bothwell Regional Health Center,Sedalia,MO,65301-5972,40.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
882,Ozarks Medical Center,West Plains,MO,65775-2029,37.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
883,Poplar Bluff Regional Medical Center,Poplar Bluff,MO,63901,33.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
884,St. Francis Medical Center (Cape Girardeau),Cape Girardeau,MO,63703-5049,32.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
885,Phelps County Regional Medical Center,Rolla,MO,65401-2905,27.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
886,St. Patrick Hospital,Missoula,MT,59802-4096,71.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
887,Billings Clinic,Billings,MT,59101-0703,62.1,/best-hospitals/area/co/national-jewish-health-6840315/pulm
888,St. Vincent Healthcare,Billings,MT,59101-0165,60.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
889,Benefis Healthcare - East Campus,Great Falls,MT,59405-5104,52.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
890,St. Peter's Hospital (Helena),Helena,MT,59601-4928,52.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
891,Kalispell Regional Medical Center,Kalispell,MT,59901-3129,44.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
892,CHI Health Good Samaritan,Kearney,NE,68847-2926,70.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
893,The Nebraska Medical Center,Omaha,NE,68105,61.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
894,Nebraska Methodist Hospital,Omaha,NE,68114-4199,60.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
895,CHI Health Bergan Mercy,Omaha,NE,68124-2319,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
896,CHI Health Lakeside,Omaha,NE,68122,56.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
897,CHI Health St. Elizabeth,Lincoln,NE,68510-2494,56.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
898,BryanLGH Medical Center,Lincoln,NE,68506-1299,49.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
899,Faith Regional Health Services,Norfolk,NE,68701-4438,47.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
900,CHI Health St. Francis,Grand Island,NE,68803-4297,39.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
901,Regional West Medical Center,Scottsbluff,NE,69361-4695,37.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
902,Great Plains Regional Medical Center (North Platte),North Platte,NE,69101-6598,37.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
903,Saint Mary's Regional Medical Center,Reno,NV,89503-4548,57.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
904,Renown Regional Medical Center,Reno,NV,89502-1576,50.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
905,St. Rose Dominican Hospitals - San Martin Campus,Las Vegas,NV,89113-3612,45.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
906,University Medical Center-Las Vegas,Las Vegas,NV,89102-2386,45.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
907,Carson Tahoe Regional Medical Center,Carson City,NV,89703-4625,45.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
908,St. Rose Dominican Hospitals - Siena Campus,Henderson,NV,89052,41.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
909,St. Rose Dominican Hospitals-Rose de Lima Campus,Henderson,NV,89015-5524,34.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pr"
910,Desert Springs Hospital Medical Center,Las Vegas,NV,89119-5121,29.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
911,Valley Hospital Medical Center,Las Vegas,NV,89106-4119,27.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
912,MountainView Hospital,Las Vegas,NV,89128-0436,26.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
913,Sunrise Hospital and Medical Center,Las Vegas,NV,89109-2306,18.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
914,Wentworth-Douglass Hospital,Dover,NH,03820,63.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
915,Concord Hospital,Concord,NH,03301-2598,60.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
916,Dartmouth-Hitchcock Medical Center,Lebanon,NH,03756-0001,59.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
917,Elliot Hospital,Manchester,NH,03103-3502,54.7,/best-hospitals/area/co/national-jewish-health-6840315/pulm
918,St. Joseph Hospital (Nashua),Nashua,NH,03060-3648,54.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
919,Southern New Hampshire Medical Center,Nashua,NH,03060-3925,50.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
920,Catholic Medical Center,Manchester,NH,03102-3770,46.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
921,St. Luke's Warren Campus,Phillipsburg,NJ,08865-1690,69.2,/best-hospitals/area/co/national-jewish-health-6840315/pulm
922,Morristown Memorial Hospital,Morristown,NJ,07960-6136,64.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
923,Hackensack University Medical Center,Hackensack,NJ,07601-1914,62.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
924,Holy Name Medical Center,Teaneck,NJ,07666-4281,62.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
925,Saint Peter's University Hospital,New Brunswick,NJ,08901-1780,61.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
926,Jersey Shore University Medical Center,Neptune,NJ,07754-0397,60.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
927,"Jefferson Health-Stratford, Cherry Hill and Washington Township",Stratford,NJ,08084,60.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
928,Hunterdon Medical Center,Flemington,NJ,08822-4604,60.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
929,Saint Barnabas Medical Center,Livingston,NJ,07039-5672,59.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
930,St. Joseph's University Medical Center,Paterson,NJ,07503-2691,59.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
931,Englewood Hospital,Englewood,NJ,07631-1898,58.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
932,Valley Hospital,Ridgewood,NJ,07450-2726,58.3,/best-hospitals/area/co/national-jewish-health-6840315/pulm
933,AtlantiCare Regional Medical Center,Atlantic City,NJ,08401-6713,57.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
934,Robert Wood Johnson University Hospital,New Brunswick,NJ,08901-1928,57.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="
935,Hackensack Meridian Health Pascack Valley Medical Center,Westwood,NJ,07675-3123,55.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix=""\"
936,Southern Ocean Medical Center,Manahawkin,NJ,08050-2499,55.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
937,Robert Wood Johnson University Hospital Somerset,Somerville,NJ,08876-2598,54.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pre"
938,Ocean Medical Center,Brick Township,NJ,08724-7732,53.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
939,Cape Regional Medical Center,Cape May Court House,NJ,08210-9990,53.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
940,University Medical Center of Princeton at Plainsboro,Plainsboro,NJ,08536,52.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix="
941,Raritan Bay Medical Center,Perth Amboy,NJ,08861-3654,52.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
942,St. Michael's Medical Center,Newark,NJ,07102-1909,52.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
943,Overlook Medical Center,Summit,NJ,07901-3533,52.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
944,Newton Medical Center,Newton,NJ,07860-1004,51.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
945,Riverview Medical Center,Red Bank,NJ,07701-1864,51.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
946,HackensackUMC Palisades,North Bergen,NJ,07047-6217,51.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
947,Cooper University Hospital,Camden,NJ,08103-1489,51.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
948,HackensackUMC Mountainside,Montclair,NJ,07042-4898,50.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
949,Virtua Berlin/Voorhees,Voorhees,NJ,08043-9612,50.5,/best-hospitals/area/co/national-jewish-health-6840315/pulm
950,Chilton Medical Center,Pompton Plains,NJ,07444-1696,50.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
951,Monmouth Medical Center,Long Branch,NJ,07740-6303,48.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
952,Inspira Medical Center Vineland,Vineland,NJ,08360-6912,48.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pr"
953,"Monmouth Medical Center, Southern Campus",Lakewood,NJ,08701-5237,48.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
954,Robert Wood Johnson University Hospital Hamilton,Hamilton,NJ,08690-3599,45.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pre"
955,Community Medical Center (Toms River),Toms River,NJ,08755-6423,45.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
956,Bayshore Community Hospital,Holmdel,NJ,07733-1598,44.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
957,Virtua Memorial,Mount Holly,NJ,08060-2099,44.3,/best-hospitals/area/co/national-jewish-health-6840315/pulm
958,JFK Medical Center (Edison),Edison,NJ,08818,44.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
959,Newark Beth Israel Medical Center,Newark,NJ,07112-2027,44.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
960,CentraState Medical Center,Freehold,NJ,07728-2549,43.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
961,Jersey City Medical Center,Jersey City,NJ,07302,43.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
962,St. Mary's General Hospital,Passaic,NJ,07055-2840,42.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
963,St. Clare's Hospital,Denville,NJ,07834-2954,42.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
964,Lourdes Medical Center of Burlington County,Willingboro,NJ,08046-1162,40.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
965,Trinitas Regional Medical Center,Elizabeth,NJ,07202-3625,39.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
966,Clara Maass Medical Center,Belleville,NJ,07109-3557,38.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
967,Capital Health Medical Center - Hopewell,Pennington,NJ,08534-2520,37.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
968,Inspira Medical Center Woodbury,Woodbury,NJ,08096-1697,35.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
969,Robert Wood Johnson University Hospital Rahway,Rahway,NJ,07065-2797,26.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" p"
970,Presbyterian Hospital,Albuquerque,NM,87106-4934,57.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
971,University of New Mexico Hospital,Albuquerque,NM,87106-2745,49.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
972,San Juan Regional Medical Center,Farmington,NM,87401-5630,46.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
973,Christus St. Vincent Regional Medical Center,Santa Fe,NM,87505-7601,44.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
974,Memorial Medical Center of Las Cruces,Las Cruces,NM,88011-5076,44.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
975,Lovelace Medical Center,Albuquerque,NM,87102-3619,27.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
976,North Shore University Hospital,Manhasset,NY,11030-3816,77.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
977,NYU Langone Medical Center,New York,NY,10016-6402,76.5,"racking-id=""scorecard-specialty-click"" href=""/best-hospita"
978,NewYork-Presbyterian,New York,NY,10065-4870,75.4,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals/area/co/national-jewish-health-68403"
979,Rochester General Hospital,Rochester,NY,14621-3099,70.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
980,St. Francis Hospital (Roslyn),Roslyn,NY,11576-1353,69.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
981,Strong Memorial Hospital of the University of Rochester,Rochester,NY,14642-0002,69.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
982,Winthrop University Hospital,Mineola,NY,11501-3957,68.8,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals"
983,Mount Sinai Hospital,New York,NY,10029-0310,67.6,"racking-id=""scorecard-specialty-click"" href=""/best-hospita"
984,Huntington Hospital,Huntington,NY,11743-2799,67.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
985,Northern Westchester Hospital,Mount Kisco,NY,10549-3477,67.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
986,Stony Brook University Medical Center,Stony Brook,NY,11794-8410,66.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
987,Lenox Hill Hospital,New York,NY,10075-1850,66.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
988,White Plains Hospital,White Plains,NY,10601-4699,64.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
989,Orange Regional Medical Center,Middletown,NY,10940-2650,64.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
990,Long Island Jewish Medical Center,New Hyde Park,NY,11040-1496,64.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
991,Newark-Wayne Community Hospital,Newark,NY,14513-1057,63.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
992,Memorial Sloan-Kettering Cancer Center,New York,NY,10065-6007,63.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
993,Montefiore Medical Center,Bronx,NY,10467-2401,63.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
994,New York-Presbyterian/Queens,Flushing,NY,11355-5045,63.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
995,Albany Medical Center,Albany,NY,12208-3478,62.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
996,South Nassau Communities Hospital,Oceanside,NY,11572-1551,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
997,Unity Hospital,Rochester,NY,14626-4182,61.9,/best-hospitals/area/co/national-jewish-health-6840315/pul
998,St. Peter's Hospital (Albany),Albany,NY,12208-1789,60.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
999,Maimonides Medical Center,Brooklyn,NY,11219-2916,60.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
1000,Champlain Valley Physicians Hospital Medical Center,Plattsburgh,NY,12901-1438,59.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
1001,Upstate University Hospital,Syracuse,NY,13210-2342,59.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1002,Staten Island University Hospital,Staten Island,NY,10305-3436,59.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
1003,NewYork-Presbyterian Brooklyn Methodist Hospital,Brooklyn,NY,11215-3609,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1004,John T. Mather Memorial Hospital,Port Jefferson,NY,11777-2190,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
1005,Mount Sinai Morningside and Mount Sinai West Hospitals,New York,NY,10025-1716,58.7,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals/area/"
1006,Mount Sinai Beth Israel Medical Center - Petrie Division,New York,NY,10003-3803,58.4,"racking-id=""scorecard-specialty-click"" href=""/best-hospita"
1007,St. Joseph's Health Hospital,Syracuse,NY,13203-1807,58.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
1008,Vassar Brothers Medical Center,Poughkeepsie,NY,12601-3947,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
1009,Phelps Hospital,Sleepy Hollow,NY,10591-1020,57.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
1010,Saratoga Hospital,Saratoga Springs,NY,12866-1003,55.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
1011,Highland Hospital,Rochester,NY,14620-2733,53.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
1012,Southside Hospital,Bay Shore,NY,11706-8458,53.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
1013,St. John's Riverside Hospital,Yonkers,NY,10701-1399,53.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1014,Plainview Hospital,Plainview,NY,11803-4978,52.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"""
